字段名,字段标签,填写说明
ac_issue_type,空调问题类型,选择空调故障的具体类型：制冷效果差/不制冷/出热风/风量异常/异味/异响
ac_repair_history,空调维修历史,是否曾经维修过空调系统：是/否
ac_switch_status,AC开关状态,空调AC开关当前状态：开启/关闭
affect_traffic,是否影响交通,车辆停放是否影响道路通行：是/否
affected_part,受影响部位,漆面问题出现的具体部位：保险杠/引擎盖/车门/车顶/后备箱/其他
agree_upload_log,同意上传日志,客户是否同意上传车机日志用于分析：是/否
air_outlet,出风口选择,当前空调出风口设置：面部/脚部/前挡/混合
ambient_temp,环境温度,车辆所处环境的当前温度（单位：℃）
app_report_id,APP上报ID,手机APP生成的故障上报编号
app_version,APP版本,比亚迪汽车APP的版本号
appointment_date,预约日期,客户期望到店的日期（格式：YYYY-MM-DD）
appointment_no,预约单号,系统生成的预约单编号
appointment_time,预约时间,客户期望到店的时间段：上午/下午/具体时间点
battery_capacity,电池容量,车辆动力电池的额定容量（单位：kWh）
battery_impact_history,电池撞击历史,电池包是否曾经受过撞击：是/否
battery_warning_type,电池报警类型,动力电池故障灯或报警类型
brake_effectiveness,制动效果,当前制动系统的工作效果：正常/偏软/偏硬/异响
brake_warning_type,制动报警类型,制动系统故障灯类型：红色警告/黄色警告/ABS灯/ESP灯
charger_type,充电桩类型,使用的充电桩类型：快充/慢充/家用插座/刷卡式/非刷卡式
charging_issue_type,充电故障现象,预约充电出现的具体问题描述
charging_location,充电地点,车辆充电的具体位置：家庭/公司/公共充电站
circulation_mode,循环模式,空调内外循环设置：内循环/外循环
contact_phone,联系电话,客户的主要联系电话号码
current_location,当前位置,车辆当前所在的详细地址或位置描述
current_soc,当前电量,车辆当前的电池电量百分比（%）
customer_demand,客户诉求,客户对问题处理的具体要求或期望
customer_name,客户姓名,客户的姓名或称呼
destination,拖车目的地,道路救援拖车的目标地点：4S店/指定地址/家中
drivable_status,可行驶状态,车辆当前是否可以正常行驶：可正常行驶/建议停止驾驶/无法行驶
estimated_resolution_time,预计解决时间,预计完成维修或解决问题的时间
estimated_response_time,预计回复时间,技术部门预计回复客户的时间
eta,预计到达时间,救援人员预计到达客户位置的时间
expected_time,期望时间,客户期望救援或服务的具体时间
fan_speed,风量档位,空调风量设置的档位：1档/2档/3档/4档/5档/自动
fault_description,故障描述,客户描述的故障现象和详细情况
first_occurrence_date,首次发生时间,问题第一次出现的日期和时间
flood_history,涉水历史,电池包或车辆是否曾经涉水：是/否
handling_suggestion,处理建议,客服人员给出的初步处理建议或方案
has_accident_history,事故历史,车辆是否发生过事故：是/否
has_evidence,是否有证据,客户是否提供了故障截图或视频证据：是/否
has_modification,是否有改装,车辆近期是否进行过加装或改装：是/否
has_photos,是否有照片,客户是否提供了问题照片：已提供/未提供
has_screenshot,是否有截图,客户是否提供了故障截图：是/否
has_video,是否有视频,客户是否提供了故障视频：是/否
headunit_report_id,车机上报ID,车机系统生成的故障上报编号
headunit_version,车机版本,车机系统的软件版本号
inspection_arrangement,检测安排,车辆检测的具体安排：到店检测/上门检测/远程诊断
inspection_time,检测时长,预计完成检测所需的时间
is_safe_parked,是否安全停放,车辆是否停放在安全位置：是/否
issue_duration,问题持续时间,问题出现到当前的持续时间
issue_found_date,问题发现日期,客户首次发现问题的日期
issue_frequency,问题发生频率,问题出现的频率：偶发/频繁/每次启动都出现/持续存在
last_ac_repair_date,上次空调维修时间,空调系统上次维修的日期
last_charging_method,上次充电方式,最近一次使用的充电方式：快充/慢充/家用插座
last_drive_normal,上次行驶正常,上次行驶时车辆是否正常：是/否
last_maintenance_date,上次保养日期,车辆上次保养的日期
last_maintenance_mileage,上次保养里程,车辆上次保养时的行驶里程（公里）
last_repair_date,上次维修日期,相关部位上次维修的日期
last_success_time,上次成功时间,预约充电上次成功执行的时间
maintenance_type,保养类型,客户选择的保养类型：常规保养/大保养/特定项目
