一级事件类型,一级事件类型ID,一级事件类型填写说明,二级事件类型,二级事件类型ID,二级事件类型填写说明,三级事件类型,三级事件类型ID,三级事件类型填写说明
道路救援,EVT001,请选择道路救援类型,拖车服务,EVT001001,车辆无法移动时使用,标准拖车,EVT001001001,普通道路拖车服务
道路救援,EVT001,请选择道路救援类型,拖车服务,EVT001001,车辆无法移动时使用,紧急拖车,EVT001001002,高速公路或紧急拖车
道路救援,EVT001,请选择道路救援类型,现场维修,EVT001002,现场可修复的故障,电瓶搭电,EVT001002001,电瓶没电时搭电启动
道路救援,EVT001,请选择道路救援类型,现场维修,EVT001002,现场可修复的故障,更换轮胎,EVT001002002,轮胎故障时更换备胎
道路救援,EVT001,请选择道路救援类型,现场维修,EVT001002,现场可修复的故障,送油服务,EVT001002003,燃油耗尽时送油
保养预约,EVT002,请选择保养类型,常规保养,EVT002001,定期常规保养,小保养,EVT002001001,更换机油机滤
保养预约,EVT002,请选择保养类型,常规保养,EVT002001,定期常规保养,大保养,EVT002001002,全面保养检查
保养预约,EVT002,请选择保养类型,专项维修,EVT002002,特定部件维修,刹车系统,EVT002002001,刹车片刹车盘维修
保养预约,EVT002,请选择保养类型,专项维修,EVT002002,特定部件维修,空调系统,EVT002002002,空调维修加氟
质量问题,EVT003,请选择质量问题类型,车身问题,EVT003001,车身外观问题,漆面问题,EVT003001001,车漆色差流挂
质量问题,EVT003,请选择质量问题类型,车身问题,EVT003001,车身外观问题,钣金问题,EVT003001002,车身变形凹陷
质量问题,EVT003,请选择质量问题类型,动力系统,EVT003002,发动机电机问题,发动机故障,EVT003002001,发动机异响抖动
质量问题,EVT003,请选择质量问题类型,动力系统,EVT003002,发动机电机问题,电池问题,EVT003002002,动力电池故障
